text,sentiment
Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ,1
SNC Halloween Pr. Pumped. Let's work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween,1
"@jacquelinemegan I'm sorry I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)",0
Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :),1
#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U,1
"Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday with investors waiting for... http://t.co/CiqFona1",0
"Monday before I leave Singapore I am going to post something that might be offensive.",0
"Here in the Philippines Its November 2 and I was like where's my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial",1
Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!,1
"'Love-cheat' Daniel Radcliffe splits with girlfriend Rosie Coker: London Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ",0
"@solz_b He's a true Niners fan he brought it up in a interview during his 2nd season. :D",1
"Patriots Extend Lead Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak",1
@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn't so bad. Probably should've had ET,1
Pretty Little Liars was the shit ! I can't wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !,1
@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor,1
"#7FactsAboutMyBestFriend 17 plays softball loves the Lakers she's a LA girl Junior Birthday September 15th & she loves her black boys!",1
"waking up to a Niners win makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.",1
